items,quantities,unit_utilities
milk|chicken|bread|coffee|dinner|paper_towels|ice_cream,1.1|1.9|3.0|1.1|1.8|3.6|3.2,3.32|10.89|5.14|1.07|8.64|9.28|4.04
bread|rice|milk|apple|chicken|lettuce|salmon|yogurt|soda|croissant,4.7|1.3|2.2|3.5|4.5|2.4|1.8|1.3|3.6|4.1,5.93|7.06|7.2|2.14|9.53|3.5|6.63|4.13|8.37|4.66
cheese|bread|coffee|carrot|olives|vegetables|nuts,3.7|4.4|4.1|1.9|1.1|2.3|2.1,3.27|5.74|10.64|1.94|7.93|5.77|6.57
bread|coffee|cheese|apple|tomato|olives|bagel|beer|oil|shampoo|muffin,1.6|3.7|3.4|2.5|3.4|2.9|2.0|3.2|4.8|3.7|1.5,5.48|9.26|6.61|2.02|1.88|4.95|1.51|8.94|6.18|11.75|4.93
rice|chicken|coffee|cheese|muffin|vinegar|chips|salt,3.1|1.0|2.3|1.1|4.7|4.5|4.3|2.2,1.88|13.78|11.42|2.51|3.69|1.95|5.8|6.48
coffee|pasta|bread|cheese|salami|ham|oil|dessert|rice,2.6|3.7|2.5|4.6|2.8|2.0|1.3|1.1|3.2,7.47|1.55|4.69|2.35|4.4|4.19|3.65|6.6|3.31
bread|pasta|cheese|apple|rice|cookies|tea|coffee|juice|dinner,4.9|1.4|2.6|2.4|4.4|2.0|1.8|2.8|2.7|2.1,2.62|7.5|4.66|3.58|5.08|1.73|11.99|10.2|11.66|9.48
bread|apple|milk|carrot|olives|salmon|salt|soda,2.7|4.8|5.0|3.2|3.9|1.6|2.2|4.9,4.11|2.63|6.49|1.17|7.51|10.03|7.04|2.73
rice|milk|onion|turkey_slices|nuts|candy,1.2|1.3|3.6|3.3|2.3|2.0,5.85|3.89|1.8|4.79|5.23|4.29
milk|cheese|chips|beer|bagel|lettuce,1.3|2.0|2.1|2.8|3.2|2.2,7.9|6.84|4.64|8.35|4.0|3.8
pasta|bread|milk|crackers|tuna|pretzels,1.8|3.5|2.1|3.0|4.6|4.4,2.1|3.41|3.66|2.02|12.71|5.19
bread|apple|coffee|cheese|milk|pasta|dessert|muffin|yogurt|carrot|crackers|tea,1.2|2.5|4.7|4.9|1.2|2.4|3.7|3.7|2.4|3.2|4.5|4.9,4.87|3.78|3.6|2.98|6.8|2.65|5.89|2.31|7.55|3.35|4.06|8.37
chicken|rice|milk|pork|flour|soda|banana|sugar,1.9|1.1|1.8|2.3|4.5|4.9|2.1|3.6,9.0|7.88|5.22|14.39|2.25|11.67|1.54|7.76
milk|cheese|chicken|rice|apple|pasta|croissant|paper_towels|cookies|yogurt|tea|wine,4.2|3.7|4.8|3.9|1.8|2.7|4.8|4.7|3.5|3.7|1.5|4.6,5.04|6.0|8.26|6.03|2.66|2.75|4.49|6.41|4.87|3.04|7.26|5.47
chicken|bread|rice|cheese|orange|tea|dinner|wine,4.2|4.8|3.9|3.6|2.1|3.7|3.5|1.4,14.52|2.56|3.52|6.84|1.44|1.51|9.89|7.72
apple|pasta|cheese|coffee|potato|onion|muffin|dessert,4.6|4.4|4.5|4.1|1.9|4.2|3.8|2.9,2.67|7.46|2.73|2.47|2.39|2.59|4.02|5.22
cheese|coffee|rice|pasta|juice|salmon|turkey|vegetables|vinegar|wine|pizza,2.1|1.3|2.1|2.1|2.3|3.2|1.6|1.9|3.8|3.8|1.3,4.45|6.97|4.2|2.84|5.62|14.05|10.84|7.87|7.07|9.42|5.66
pasta|chicken|apple|detergent|chips|cereal|sugar,4.6|3.0|2.1|2.9|2.6|3.7|4.2,6.21|13.41|3.76|11.83|4.67|7.4|5.35
milk|apple|rice|bread|salmon|orange|soda|lettuce,4.5|2.1|4.8|2.7|4.3|2.9|4.0|1.2,7.71|1.67|1.95|5.81|5.4|1.09|3.72|3.52
bread|apple|milk|pasta|salmon|carrot|pretzels|salami,4.1|1.7|2.2|3.3|4.7|3.3|4.6|2.5,5.74|1.59|5.55|6.9|7.43|3.09|3.51|8.11
rice|cheese|milk|berries|cream|vegetables,2.7|3.0|2.7|2.4|4.6|2.8,2.49|3.06|5.13|7.55|5.7|9.44
apple|rice|cheese|chicken|bread|pasta|soda|oil|nuts|dinner|lettuce|beer|orange,3.0|2.4|2.0|2.1|3.4|4.5|3.2|3.1|1.8|2.0|2.6|3.2|2.0,2.43|6.13|4.69|5.17|2.82|4.13|3.68|5.82|3.85|6.87|2.03|11.96|2.65
coffee|chicken|milk|bread|chips|vinegar|cookies|beef|water|pasta,4.9|3.1|2.1|1.4|1.8|1.9|1.7|1.1|3.1|2.1,11.72|10.53|6.18|2.07|6.34|4.69|5.43|10.74|6.16|4.36
pasta|chicken|rice|milk|water|candy|dessert|muffin|flour,4.8|1.3|2.0|3.2|2.7|3.4|3.5|4.1|2.5,7.41|7.97|5.33|4.57|7.25|2.3|9.72|1.95|6.46
chicken|milk|bread|cheese|onion|dessert|juice|yogurt|apple,2.1|4.4|1.3|1.9|2.1|4.2|3.4|4.2|1.8,6.15|3.35|2.17|3.59|1.43|3.42|9.72|5.57|3.47
apple|chicken|cheese|tea|chocolate|paper_towels|cereal|pretzels,1.9|3.7|4.4|3.3|1.1|4.1|4.3|3.3,3.29|6.75|5.11|5.86|3.39|11.97|4.33|6.07
apple|chicken|milk|cake|onion|beer|berries,2.6|4.0|1.1|1.4|2.0|1.5|4.1,3.59|13.25|2.01|5.41|2.39|1.6|6.63
coffee|rice|bread|cheese|pasta|apple|croissant|hummus|pretzels|turkey|muffin|crackers,1.4|5.0|4.7|2.8|1.5|4.3|3.0|3.9|3.0|2.1|4.3|4.9,3.68|5.08|3.23|7.53|4.8|3.64|5.39|5.66|5.95|9.15|5.7|4.54
chicken|cheese|pasta|water|muffin|chips|lettuce,3.2|3.2|2.8|2.3|1.8|3.8|3.3,7.34|6.65|1.78|9.19|4.67|6.06|2.16
apple|milk|cheese|rice|toothpaste|tea|chips|soda|pasta,2.6|3.6|1.6|2.9|4.9|2.4|3.8|3.6|4.4,3.56|7.16|4.28|3.56|9.47|9.35|6.36|1.39|1.94
pasta|coffee|apple|milk|rice|tea|dessert|paper_towels|yogurt|sugar,2.5|1.6|3.1|3.3|4.2|1.7|1.3|4.5|3.5|2.0,7.43|2.57|2.38|3.52|3.16|1.1|8.63|11.11|6.07|2.53
pasta|chicken|coffee|apple|olives|soap|bread|potato|tomato|rice,1.1|4.3|2.6|1.0|4.5|4.1|4.9|4.6|4.0|4.3,7.37|12.76|3.53|3.41|5.31|4.71|2.63|3.27|3.3|5.93
coffee|pasta|chicken|apple|candy|cereal|ice_cream|oil,1.7|1.5|3.2|4.9|3.1|4.7|4.3|2.0,10.07|4.63|13.06|3.24|3.69|2.25|7.78|2.41
rice|coffee|pasta|carrot|salt|milk|chips|soda,3.7|3.7|3.3|4.3|4.8|1.4|1.9|1.1,7.25|7.18|7.45|1.66|1.91|6.94|6.55|4.32
milk|pasta|bread|cheese|potato|carrot|turkey_slices|dessert|crackers|chocolate,4.5|3.6|4.3|3.5|4.8|2.1|3.8|1.9|2.8|1.9,4.18|7.88|3.15|7.41|2.93|1.18|5.66|9.78|6.75|6.12
coffee|cheese|milk|salt|turkey|croissant|nuts,1.3|4.1|1.8|1.9|4.5|2.3|1.6,10.91|2.02|7.15|2.44|6.3|2.63|2.87
bread|chicken|rice|cheese|milk|salmon|croissant|coffee,1.5|1.3|2.8|2.4|3.4|2.8|1.9|3.5,4.77|14.09|5.78|3.81|5.86|5.31|5.99|10.32
coffee|apple|pasta|milk|cheese|tuna|pizza|crackers|orange|olives|chips|soda,3.4|1.4|3.8|4.4|3.6|4.1|3.9|1.9|2.8|1.9|2.4|2.8,5.58|1.29|4.27|5.99|4.25|6.53|9.46|2.34|3.5|4.56|2.48|9.13
cheese|chicken|milk|tomato|berries|oil|shampoo|pasta,4.9|3.4|2.4|3.3|1.9|3.6|1.9|1.4,7.07|8.68|6.58|2.72|8.65|6.99|11.77|6.82
cheese|coffee|milk|tuna|vinegar|ham|tomato,1.7|1.6|3.6|1.3|4.0|4.9|1.4,5.18|5.14|4.72|6.57|3.53|5.95|3.82
pasta|bread|rice|milk|ice_cream|tea|coffee|pretzels,2.7|1.9|3.0|2.4|1.4|3.7|3.4|3.1,3.5|2.49|7.9|2.33|3.23|11.4|9.44|5.82
chicken|milk|coffee|bread|apple|beer|detergent|sugar|cream|shampoo|yogurt,1.1|4.7|4.4|3.3|3.3|3.8|2.7|1.5|1.1|2.3|4.2,11.18|6.99|11.12|1.9|3.53|3.68|8.3|4.91|4.37|5.79|4.04
rice|milk|coffee|cheese|bread|tomato|salami|vegetables|muffin|salmon,1.7|1.6|4.0|1.3|4.8|3.5|2.9|3.3|3.3|3.7,7.23|5.86|11.85|3.94|5.87|1.95|6.64|6.28|4.34|12.96
chicken|milk|apple|carrot|vegetables|hummus,1.4|3.4|2.5|3.3|4.8|4.0,5.41|7.45|2.71|1.56|7.24|7.01
apple|rice|pasta|ice_cream|vegetables|yogurt,5.0|3.1|3.4|2.5|4.7|2.5,3.32|5.91|1.84|5.79|5.34|3.98
chicken|coffee|pasta|rice|cheese|bagel|tomato|salami|potato|chocolate|turkey_slices,2.2|2.5|4.2|4.3|3.7|4.3|4.0|3.7|3.1|3.6|2.7,8.62|4.99|2.67|2.89|7.69|3.69|1.68|4.83|1.23|6.22|4.61
coffee|pasta|cheese|muffin|cookies|dessert|pizza,4.6|3.9|1.2|2.5|3.9|4.9|3.4,9.28|6.59|3.4|2.58|5.85|8.49|9.33
chicken|pasta|apple|potato|chips|salami|flour|sugar,1.6|2.0|3.6|4.5|3.2|1.4|4.4|4.4,7.85|6.46|1.82|3.72|2.74|6.62|7.65|2.94
pasta|apple|chicken|milk|pork|orange|bread|lettuce|muffin|yogurt,4.7|2.9|4.3|4.0|2.9|3.5|4.6|1.1|1.9|1.6,7.61|2.83|9.23|6.66|7.38|1.37|2.57|2.92|4.3|2.38
cheese|milk|bread|apple|turkey|coffee|berries|ice_cream|hummus|cream|chips,3.0|5.0|3.2|2.6|2.9|3.5|4.9|2.0|1.1|4.2|2.4,6.4|5.77|4.97|3.21|8.33|1.49|6.82|6.88|5.05|6.67|4.32
coffee|rice|milk|apple|chicken|yogurt|ham|wine|olives|crackers|turkey,4.0|1.8|2.4|4.1|4.5|2.3|1.5|2.5|4.6|4.0|4.6,5.25|7.83|4.98|2.49|14.24|5.12|8.81|9.0|4.47|5.01|13.22
chicken|milk|coffee|cheese|apple|dessert|tomato|yogurt|shampoo|olives,2.1|4.9|4.8|1.3|3.6|2.5|4.2|3.7|4.8|1.6,11.08|6.69|1.38|2.4|3.34|5.56|2.15|5.4|8.45|8.07
chicken|rice|cheese|apple|coffee|turkey|croissant|cereal|beer|potato|nuts,2.0|2.0|2.8|5.0|2.1|4.7|3.0|1.5|4.4|2.8|4.6,9.45|2.07|6.09|3.54|4.52|8.47|1.79|5.02|10.8|3.55|5.56
rice|cheese|milk|bread|salt|crackers|carrot|sugar,3.2|3.4|1.3|2.2|5.0|3.9|3.1|4.1,6.85|2.44|7.83|4.39|4.42|5.4|2.03|7.21
rice|bread|cheese|wine|banana|cake|ham|pork,4.8|3.1|2.1|1.3|1.8|4.8|2.1|3.5,5.49|1.92|5.85|7.51|2.74|2.27|7.75|14.02
rice|cheese|milk|coffee|candy|berries|vinegar|vegetables|beer,3.5|2.2|4.8|2.9|4.2|3.7|2.2|1.3|1.2,4.36|4.91|3.22|7.67|3.56|8.03|6.27|9.03|11.73
rice|cheese|milk|bread|soda|bagel|butter|turkey_slices|shampoo,2.7|4.9|4.6|4.3|4.7|3.9|1.8|1.6|5.0,4.53|7.27|4.98|1.91|5.33|3.56|3.44|7.5|3.44
