items,quantities,unit_utilities
vegetables|lettuce|potato|apple|pasta,3.6|2.0|4.0|3.1|2.7,8.87|2.47|2.12|2.75|5.22
pasta|beef|dinner|toothpaste,2.6|3.0|4.7|1.5,2.15|7.96|8.83|5.51
turkey|pizza|yogurt|rice|cheese|onion,3.1|2.5|4.3|2.8|4.1|2.8,5.53|6.83|5.43|6.65|5.18|3.36
muffin|croissant|toilet_paper|berries|pizza,2.1|4.8|1.2|3.5|1.0,3.3|5.74|7.83|6.62|8.12
tomato|yogurt|apple|cream|potato|pasta|olives,1.1|3.2|3.3|4.8|2.9|2.0|2.2,2.72|6.8|1.87|4.4|2.74|6.21|9.57
salmon|crackers|salami|candy|bread|toothpaste|onion,2.6|1.0|1.8|1.8|1.4|1.8|1.5,12.59|3.06|6.67|4.46|5.08|9.52|2.9
turkey_slices|beer|oil|cake|salmon|nuts|tea|lettuce,3.2|2.2|3.9|4.2|2.0|3.9|1.8|5.0,6.04|6.41|5.71|5.37|7.84|2.02|1.18|3.05
chips|vinegar|salmon|toothpaste|cookies|dinner|rice,2.9|1.5|3.0|1.2|4.5|2.4|3.3,3.57|2.88|7.8|4.32|2.37|7.96|5.4
salmon|olives|beef|cake,3.4|3.8|2.6|1.3,9.3|7.05|14.73|4.33
tuna|chocolate|turkey|muffin|detergent,4.7|4.2|3.2|1.9|3.0,7.27|3.95|8.15|5.49|3.01
water|shampoo|apple|vegetables|ice_cream|juice,2.6|2.8|3.8|4.3|3.9|4.8,10.59|3.82|3.25|7.85|3.46|4.38
pizza|onion|muffin|apple|bagel|cereal,4.8|2.2|3.5|2.5|2.6|4.1,6.12|2.92|2.0|3.48|3.46|7.3
butter|sugar|croissant|toilet_paper|rice|pasta,4.5|3.0|2.0|4.0|4.7|2.9,2.68|1.59|4.58|3.91|3.83|6.53
bagel|bread|wine|pizza|tea|vegetables|toilet_paper|dessert,4.7|2.5|2.0|3.6|4.6|2.2|2.0|1.4,5.15|3.98|6.84|7.38|11.37|3.05|9.06|3.57
tea|cake|carrot|onion|nuts,3.4|1.1|4.2|3.3|3.1,2.6|4.96|1.03|2.58|3.47
salt|turkey|bagel|apple,2.9|1.4|4.0|3.9,3.32|7.29|2.53|2.19
banana|tea|hummus|bagel|cheese|oil|butter,2.0|1.5|2.4|4.9|1.7|2.1|3.0,2.38|11.47|6.64|5.3|3.22|6.38|5.66
lettuce|yogurt|toothpaste|water|dinner|salt,4.3|1.6|4.2|3.1|1.3|3.2,1.29|7.6|4.4|7.87|8.65|6.88
tea|pork|croissant|carrot|muffin,4.2|3.1|3.2|4.3|2.1,7.73|9.82|2.42|1.16|2.52
salmon|vinegar|carrot|berries|wine|cereal|tuna|butter,3.5|4.9|2.8|4.7|2.0|3.3|4.7|3.3,14.94|2.2|3.59|9.33|6.94|4.9|11.75|3.34
potato|candy|pasta|cereal,2.5|1.3|3.4|4.6,3.55|4.56|4.21|1.94
banana|orange|paper_towels|pasta|beer|cookies|salmon|bread,2.9|3.4|2.4|4.2|1.5|3.1|4.5|4.5,2.0|3.46|11.43|1.75|8.89|5.32|7.68|4.9
onion|ham|paper_towels|pretzels|vegetables,4.0|2.9|1.1|1.3|2.9,2.42|4.31|6.75|4.43|8.56
oil|crackers|croissant|flour,4.7|3.1|1.1|1.1,4.47|2.53|2.84|3.92
tea|carrot|tuna|sugar|vinegar|pork|bread,2.5|2.4|2.8|2.7|4.6|1.6|1.2,2.13|2.28|5.17|7.84|3.92|14.59|4.2
shampoo|ice_cream|muffin|detergent|beer|pasta|salmon,2.6|1.2|2.1|1.5|4.3|2.6|3.4,9.64|3.77|4.96|3.76|6.42|2.23|13.92
yogurt|onion|ham|soda|dinner,2.0|4.3|1.6|1.6|1.3,6.18|1.83|7.76|5.67|4.85
bagel|oil|banana|potato,4.8|4.8|2.0|5.0,3.98|5.44|1.36|1.88
tomato|yogurt|bagel|candy|hummus|salmon|juice,1.0|1.4|2.2|4.6|4.1|4.3|4.3,3.38|7.79|1.61|2.05|7.57|12.45|4.74
salmon|nuts|soda|cookies,4.1|4.4|4.4|4.1,6.23|6.28|9.64|2.95
cheese|chocolate|salmon|soap,3.4|4.2|2.8|4.6,6.98|5.65|9.86|5.28
tuna|salt|shampoo|carrot|wine|potato,1.1|1.6|4.2|1.4|3.9|4.1,14.81|5.95|11.19|2.68|9.43|1.53
tuna|carrot|potato|toilet_paper|shampoo|salmon|cake,2.4|4.6|4.8|1.1|2.6|1.2|2.0,14.26|3.52|2.4|11.51|4.56|7.92|5.66
beef|tomato|bagel|orange|vegetables|dinner,1.1|5.0|2.5|1.4|3.8|4.2,6.28|3.34|4.93|3.65|5.41|7.64
shampoo|dinner|yogurt|cookies|chocolate|orange|flour,1.6|3.5|4.8|4.0|3.4|3.0|4.0,9.61|8.6|5.54|5.26|2.01|2.81|3.22
turkey_slices|apple|potato|water|toilet_paper|ice_cream,2.7|4.8|1.6|1.1|3.1|1.3,4.51|1.36|1.27|2.28|11.21|3.65
pasta|ham|flour|wine|yogurt,3.8|4.5|2.6|3.3|4.7,6.24|9.57|2.61|1.95|7.71
water|coffee|butter|beef|toilet_paper|turkey|ice_cream,2.8|4.0|2.1|4.0|1.3|1.9|4.3,5.15|1.58|7.67|8.81|7.38|12.05|2.75
pork|turkey|chicken|tea,4.7|1.5|4.3|4.0,12.51|13.13|12.41|8.19
cereal|pretzels|flour|potato|soda|toothpaste,1.8|4.9|4.8|1.3|1.9|4.4,7.75|4.46|4.37|1.14|1.46|10.6
bagel|cake|pasta|croissant|cereal,5.0|1.0|3.5|3.6|1.5,3.58|2.64|5.81|3.68|6.07
onion|pizza|cookies|toothpaste,4.8|3.5|3.0|2.3,3.68|9.44|2.47|5.24
coffee|crackers|olives|lettuce|ham|cheese|toothpaste,2.2|2.1|1.2|1.1|2.1|1.7|1.6,4.71|3.86|5.45|2.0|9.32|3.51|5.98
cake|pretzels|carrot|pork|tea|coffee|apple|bagel,1.9|2.1|3.7|3.0|4.0|3.3|1.5|4.0,4.56|2.52|3.24|7.98|3.24|7.54|2.96|5.2
tuna|beef|flour|salami,3.0|2.3|4.0|1.6,6.91|5.92|4.39|6.8
cheese|oil|cereal|orange|nuts,4.4|3.4|1.9|4.9|2.8,3.27|5.26|1.52|3.87|4.52
banana|bagel|chicken|bread|ice_cream|flour|tea|vegetables,3.3|3.2|4.5|4.3|3.9|4.3|4.1|1.4,2.1|3.06|6.35|3.38|5.6|6.37|6.19|6.35
wine|salmon|muffin|cream|soda|carrot|dinner,3.3|1.9|2.7|2.2|4.9|2.9|2.5,2.71|13.84|3.17|2.34|1.65|3.44|3.78
oil|cream|pasta|ham,2.3|1.7|3.1|1.9,4.19|3.17|5.93|4.61
oil|beef|ice_cream|pizza|croissant|apple,3.0|4.0|3.8|1.4|1.0|4.4,3.38|13.45|6.36|4.51|3.23|3.13
juice|berries|chocolate|cake,1.7|1.2|4.6|1.3,9.94|6.95|3.47|4.9
ice_cream|butter|sugar|oil,1.9|4.1|2.2|2.7,5.07|2.39|3.18|6.61
dessert|salmon|olives|orange|bagel|butter|turkey,1.4|1.9|4.4|2.0|1.3|4.4|2.4,6.62|10.35|7.18|2.88|5.14|6.45|6.17
salmon|hummus|pizza|olives|chocolate|shampoo,2.2|1.2|4.8|3.6|4.2|1.3,12.36|9.27|8.37|7.08|4.45|4.83
paper_towels|carrot|bagel|pork|ham|banana,2.5|4.5|2.1|3.5|4.7|4.7,4.16|2.23|1.73|10.28|8.84|3.98
vinegar|rice|yogurt|pizza|sugar|dinner|bread|shampoo,4.7|1.6|1.6|3.1|1.3|4.3|4.3|1.5,4.86|2.08|5.2|3.97|5.52|7.16|3.63|9.18
muffin|tuna|paper_towels|yogurt|flour|ham|pasta,1.8|3.3|2.5|1.9|3.6|4.5|2.2,1.88|14.42|11.78|6.71|7.38|6.54|5.51
dessert|carrot|pasta|toilet_paper,4.9|2.0|2.2|2.0,6.62|2.87|5.84|5.04
turkey|shampoo|bread|paper_towels|soap,4.5|4.0|2.7|2.4|1.2,13.27|7.8|2.7|8.47|7.42
juice|tuna|croissant|cereal|flour|cake,1.7|2.0|3.4|1.3|3.2|2.5,9.91|14.94|3.77|7.12|3.11|5.29
apple|sugar|soda|salami|water|pretzels|dinner,2.1|1.2|3.3|4.3|1.5|4.4|4.4,3.31|3.72|3.91|4.59|5.94|6.39|9.14
shampoo|turkey_slices|bread|turkey|ham|pretzels,3.7|2.6|1.2|4.3|3.5|1.5,9.05|8.08|2.96|10.0|8.74|3.48
berries|cheese|onion|chicken|dinner|crackers|detergent|chips,3.9|1.7|2.0|4.5|4.9|4.8|4.7|2.6,9.57|6.26|2.3|12.22|6.48|4.82|4.58|6.81
yogurt|banana|flour|vegetables|cake|toilet_paper,1.6|1.1|3.1|2.0|1.9|4.8,3.2|3.33|5.9|4.2|4.5|9.53
lettuce|olives|vegetables|potato|oil,3.3|4.8|3.1|1.9|4.3,2.13|6.45|8.55|1.48|2.63
flour|wine|onion|soap|milk,2.3|3.0|3.1|2.1|1.1,6.91|8.34|2.5|5.09|4.06
flour|chocolate|cookies,3.4|3.4|3.1,6.83|4.03|3.72
flour|muffin|water|yogurt|pizza|cereal|hummus|olives,4.5|1.0|1.2|3.9|4.7|4.6|2.5|2.8,6.29|3.67|7.23|5.92|3.79|5.03|7.52|4.84
cheese|apple|candy|oil|water,3.2|3.2|4.0|5.0|4.7,4.5|2.39|6.04|4.41|11.99
salt|turkey_slices|cream|turkey,4.1|2.5|3.1|4.9,5.71|9.92|4.02|13.21
banana|cake|salami|bread|hummus,4.8|2.9|3.7|3.7|4.6,2.77|4.73|8.89|3.38|8.91
potato|salami|flour|ice_cream|coffee|hummus,2.2|2.3|4.0|2.5|2.9|4.4,3.09|6.49|7.47|4.25|5.67|5.88
olives|muffin|butter|chicken,2.2|1.2|3.7|1.3,7.69|1.67|6.87|11.87
juice|tomato|wine|oil|berries|pizza,2.1|3.9|4.2|1.9|1.5|3.2,3.95|1.85|1.08|7.41|4.41|5.99
chips|flour|cookies,1.1|4.6|3.1,6.96|4.22|4.99
tomato|toilet_paper|cake|muffin|carrot|paper_towels,4.0|1.0|4.5|1.8|3.5|4.7,1.46|8.91|4.64|5.53|1.88|6.38
cream|cereal|soap|bagel|bread,1.4|1.8|2.6|4.0|1.5,7.62|2.44|7.47|5.57|2.37
chocolate|milk|lettuce|turkey_slices|turkey|cookies,1.8|3.8|4.8|4.8|4.2|2.7,5.4|5.53|1.86|9.0|10.5|2.76
pretzels|bread|cheese|cookies|cereal|pork,3.7|3.4|1.1|2.4|4.0|1.5,2.41|2.5|3.08|4.81|2.71|7.73
sugar|pasta|tuna|banana|turkey_slices|apple|chocolate|nuts,2.0|2.5|1.9|4.4|4.6|2.9|2.3|1.7,7.0|5.73|6.8|3.46|8.96|1.73|7.0|5.14
turkey_slices|water|ham,2.2|3.5|2.2,6.81|6.01|9.69
salami|rice|nuts|dessert|orange|muffin,3.2|1.9|4.8|1.8|3.8|2.8,4.8|6.71|5.38|9.48|3.21|2.48
tea|crackers|nuts|croissant|soap|toothpaste|tomato,2.1|1.8|4.3|4.3|2.7|4.9|1.1,8.48|5.3|2.4|4.32|11.62|5.93|3.5
salami|beef|bread|banana|dinner,4.5|2.4|4.6|4.1|3.9,5.05|9.57|4.32|2.99|6.17
sugar|toothpaste|vegetables|turkey_slices|ham|banana|yogurt,3.2|1.2|3.6|1.6|2.9|1.1|1.9,2.84|9.6|5.72|9.12|7.72|2.99|7.86
olives|vinegar|ice_cream|dessert,1.3|3.6|4.4|3.6,6.15|2.71|2.13|6.63
olives|beer|shampoo|potato|milk,2.4|1.1|3.2|2.6|4.1,6.69|6.47|9.07|1.41|7.6
butter|sugar|cream|vegetables|carrot|hummus|nuts|ham,4.2|2.3|4.9|1.2|2.4|1.3|2.1|3.5,4.77|7.32|5.62|7.6|2.09|9.98|3.1|7.05
tuna|vegetables|pork|soap|olives,1.4|1.0|1.3|4.1|4.5,11.81|3.16|11.59|4.33|6.59
rice|ice_cream|dinner|sugar|salmon|nuts|hummus,1.2|4.5|1.2|1.5|4.4|1.9|3.3,3.86|2.69|9.26|5.56|14.04|2.43|5.82
beef|beer|chicken|yogurt|crackers,1.2|2.7|2.4|4.3|4.2,7.2|5.28|9.75|2.95|3.08
shampoo|pizza|turkey_slices|candy|butter|nuts|croissant,4.0|2.6|3.5|4.5|2.4|4.3|1.0,8.58|5.81|5.58|2.47|4.72|3.17|5.81
vegetables|beer|chocolate|carrot|turkey_slices|soap,3.6|3.8|1.1|1.8|4.0|4.1,3.17|6.19|2.26|1.35|4.94|6.82
salami|apple|oil|candy|soda|flour|ham,1.7|4.8|2.7|2.0|2.7|4.9|1.3,6.69|2.54|3.21|3.73|7.33|5.34|5.78
coffee|salt|nuts|bagel|potato,2.8|2.3|2.6|3.3|2.9,11.9|7.11|6.53|2.4|2.32
soda|banana|cookies|detergent,2.2|2.0|2.4|4.3,5.54|2.42|2.98|10.1
cake|pizza|beef|carrot|vegetables,4.8|4.9|3.5|4.0|4.2,2.92|6.61|5.07|1.84|5.17
cereal|pork|butter|flour,4.8|4.4|3.9|3.0,6.06|8.21|4.22|4.91
oil|soda|milk|hummus|toothpaste|pizza|pasta,3.5|1.6|3.3|1.8|3.5|4.2|4.4,2.06|5.77|7.37|7.0|6.74|8.05|5.54
paper_towels|cereal|dinner|sugar|soap|tomato|oil,3.5|1.4|1.7|1.3|4.5|1.0|2.3,11.83|7.72|3.48|6.84|11.01|3.48|6.23
carrot|hummus|banana|salami|vinegar,4.1|1.3|2.7|2.3|1.2,1.75|8.81|1.53|4.84|1.61
tomato|candy|soda|tuna|beer|ice_cream,2.5|2.0|1.4|1.6|3.4|4.4,1.22|6.17|11.08|8.5|7.92|7.24
beef|oil|dessert|apple|sugar|soda|bagel|turkey,2.4|2.0|4.6|4.8|4.0|1.9|3.3|4.4,6.33|5.06|6.97|2.06|4.19|6.25|5.73|7.45
crackers|pretzels|bagel|wine|sugar|beer|turkey,1.1|4.6|4.2|1.8|3.4|3.7|3.2,5.28|6.73|5.62|3.8|4.63|5.08|6.08
flour|carrot|muffin|toilet_paper|salami|pretzels,2.3|3.2|2.0|4.4|3.3|2.6,5.14|3.6|3.94|3.79|9.95|4.82
dinner|soap|berries|juice,1.7|2.5|1.5|4.4,6.47|3.43|5.1|8.72
nuts|crackers|oil|coffee|chocolate|cereal|butter|chips,1.5|4.8|2.9|3.9|5.0|2.1|1.1|4.9,3.25|2.52|6.02|10.52|5.04|1.91|7.8|5.48
cheese|turkey_slices|vegetables|pork|pasta|hummus|nuts|juice,1.7|2.6|2.4|1.8|2.9|1.3|2.9|1.2,6.71|5.24|7.05|7.1|4.71|8.45|2.64|9.57
crackers|tea|butter|coffee,3.5|2.0|2.8|2.3,6.65|11.09|3.52|7.98
pizza|sugar|toothpaste|ice_cream,3.3|2.3|4.0|1.9,4.61|6.0|5.8|7.2
banana|croissant|turkey_slices|nuts|pasta|ice_cream|vegetables,4.8|2.1|1.3|3.2|2.1|3.7|4.2,3.46|3.62|5.45|2.87|4.93|4.69|5.25
cheese|salt|butter|tea|pretzels,3.2|4.9|2.2|1.5|3.7,5.75|3.88|2.19|5.87|3.54
bagel|orange|detergent|muffin,3.9|1.8|1.2|3.1,2.79|2.0|8.68|5.74
tomato|chicken|beef|pizza|bagel,4.3|3.1|2.0|4.8|3.5,3.24|9.85|9.12|9.37|4.8
orange|beer|wine|banana|soda,1.1|4.8|3.2|1.4|3.6,2.42|2.39|2.97|2.98|8.04
tomato|cream|bread,4.0|4.2|2.9,1.07|2.35|5.03
cereal|bread|carrot|cookies|beer|berries|cream,4.3|1.3|2.8|3.7|4.1|4.2|4.5,2.18|4.84|1.39|3.91|8.52|3.13|2.26
dinner|oil|pretzels|orange|toothpaste|rice|salt,4.2|3.0|2.9|1.2|3.3|3.0|2.2,6.51|3.58|3.7|1.03|9.78|2.2|1.8
vegetables|orange|candy|apple|pretzels|shampoo|potato,3.1|4.9|2.8|2.6|2.5|2.4|4.8,3.7|2.53|2.16|2.37|4.99|6.41|1.3
dessert|dinner|cereal|pretzels|wine,4.8|4.0|2.2|4.9|1.6,7.79|5.48|6.84|5.3|4.8
tomato|muffin|beef|cake|milk,3.5|2.6|2.9|2.0|4.3,3.41|2.37|10.23|5.04|2.51
lettuce|coffee|chocolate|sugar,1.8|2.0|4.1|2.1,1.05|9.29|6.18|5.87
milk|muffin|bagel|banana,5.0|2.0|1.1|4.7,4.47|4.81|4.94|3.61
berries|chicken|toilet_paper|salami|bagel|butter|soda,2.6|4.7|1.2|1.2|2.8|1.4|4.2,3.82|11.7|11.39|4.17|4.24|3.83|3.4
rice|turkey_slices|salami|banana,1.5|1.7|1.4|2.4,2.71|4.48|6.34|3.48
cookies|coffee|chocolate|tuna|soda|beef|pork|salt,3.2|4.4|1.6|1.9|5.0|1.5|1.1|4.1,3.79|9.22|6.9|7.54|1.99|13.87|13.47|1.94
tuna|banana|oil|chicken|croissant|beer,3.4|3.2|4.7|3.0|2.0|2.1,6.77|1.16|5.14|8.15|5.4|2.03
banana|onion|beer|vegetables|chicken,3.7|1.4|3.3|3.9|3.8,2.46|3.98|2.54|7.37|7.57
tea|soda|muffin|soap|bagel,1.7|3.7|2.1|4.7|4.5,10.85|3.35|5.94|8.79|4.76
pasta|carrot|tea|vegetables|candy|cream,3.4|4.6|1.4|3.8|2.8|1.8,5.28|1.48|3.81|4.53|6.95|3.11
milk|soda|tea|tuna,3.9|3.5|4.5|3.5,4.55|5.34|3.1|12.12
water|tea|salt|croissant|ham|chicken|beef,2.5|2.2|4.1|2.4|1.3|4.5|1.6,7.57|7.08|2.23|1.83|9.94|12.48|7.79
oil|ice_cream|chocolate|butter,4.3|4.8|1.7|2.4,5.71|7.93|5.81|4.69
vinegar|banana|cheese|chocolate|beer|bagel|juice,1.9|3.9|3.8|3.6|2.6|2.9|3.3,5.11|2.96|7.91|2.87|9.44|3.39|4.78
chocolate|turkey_slices|muffin|shampoo|pizza|sugar|ice_cream|tea,3.6|1.2|2.8|2.5|3.2|4.4|2.4|3.7,3.56|6.39|2.17|8.45|9.36|1.93|2.57|11.76
rice|soap|potato|chocolate|apple|dessert|banana,2.2|1.2|3.9|1.1|1.8|3.5|3.0,3.58|10.52|2.33|5.1|3.93|8.82|3.0
hummus|turkey_slices|pork|toilet_paper|pasta|cookies,2.4|1.7|3.5|1.4|1.2|4.7,4.49|8.16|14.98|7.23|7.12|4.51
oil|chicken|beer|candy|pasta,3.3|1.9|3.6|1.7|2.7,3.27|12.24|10.53|2.93|4.55
dessert|berries|rice|chocolate,1.2|4.5|5.0|4.5,9.73|7.43|7.41|2.93
