items,quantities,unit_utilities
potato|banana,4.1|1.8,3.96|3.59
tomato|onion|carrot,2.0|2.7|2.3,3.03|1.16|3.73
wine|juice|toilet_paper|oil|potato,2.7|2.9|3.3|3.8|3.1,4.18|9.98|8.07|7.59|2.1
rice|yogurt,1.7|3.9,2.02|7.33
shampoo|croissant|candy,1.3|2.8|4.9,9.58|2.14|4.16
orange|ice_cream|croissant|flour|pasta,4.2|4.2|3.4|4.3|3.0,2.2|4.14|3.14|5.63|5.64
sugar|butter|dessert|vegetables|detergent,3.3|4.5|1.7|2.4|3.5,7.55|4.45|9.05|4.53|4.36
berries|pasta|cookies,1.5|2.6|1.2,9.49|5.52|1.97
dessert|ice_cream,2.4|1.1,7.94|7.56
beef|vinegar,1.5|1.6,6.77|7.21
oil|olives,1.7|3.4,7.29|7.74
flour|butter,3.9|2.1,4.44|2.96
yogurt|berries|bagel,1.7|4.7|3.7,5.76|7.49|3.17
pizza|cake|potato|carrot|pasta,2.2|2.5|2.1|4.4|2.7,5.01|5.56|3.97|3.46|3.93
vegetables|beef|wine,1.1|3.5|4.4,4.21|7.03|1.19
crackers|carrot|water|ice_cream|nuts,3.3|3.6|2.8|1.8|4.0,6.93|2.86|1.73|7.83|2.07
beer|turkey,1.8|3.0,9.63|5.06
juice|dessert|cookies|paper_towels|olives,4.3|4.4|2.9|2.2|2.2,7.59|8.63|5.21|4.01|7.31
pasta|tomato|vegetables|detergent|pizza,3.4|4.6|1.7|4.8|2.5,2.03|2.56|8.02|4.71|7.85
pizza|cookies|detergent,5.0|3.2|2.0,6.26|2.84|11.73
pork|detergent|flour,4.9|2.3|4.2,9.9|9.96|6.58
candy|cookies,4.7|2.5,5.63|5.99
salmon|tomato|milk|ham,2.9|2.8|4.3|1.3,8.0|1.99|6.58|4.75
banana|turkey_slices|bread|onion,3.7|4.2|2.1|3.6,3.9|5.67|2.3|1.91
detergent|cereal|paper_towels|banana,2.5|1.8|3.9|2.4,10.08|4.0|7.14|3.59
dinner|salami,5.0|2.1,3.38|9.08
cream|milk|dessert|chips,4.5|1.6|3.3|4.6,2.13|7.32|6.57|6.69
paper_towels|pork,4.5|3.8,3.96|12.68
